releaseYear,mean_rating,total_votes,unique_titles_count,type
1920,8.0,73693,1,film
1921,8.1,156817,2,film
1923,8.1,24055,1,film
1924,8.066666666666666,89725,3,film
1925,8.0,187926,2,film
1926,8.1,120718,2,film
1927,8.2,250715,2,film
1928,8.066666666666666,116868,3,film
1929,8.3,29295,1,film
1930,8.1,70178,1,film
1931,8.4,385488,2,film
1932,8.05,32034,2,film
1933,7.9,107993,2,film
1934,8.0,150939,2,film
1936,8.2,301746,2,film
1937,8.033333333333333,61943,3,film
1938,7.9,80527,2,film
1939,8.016666666666667,987158,6,film
1940,8.15,556376,4,film
1941,8.0,697867,4,film
1942,8.200000000000001,707792,3,film
1943,8.05,29122,2,film
1944,8.033333333333333,306457,3,film
1945,8.02,173066,5,film
1946,8.066666666666666,865003,6,film
1947,7.95,100863,2,film
1948,8.1,526581,4,film
1949,8.1,307397,5,film
1950,8.133333333333333,705626,6,film
1951,8.083333333333334,372426,6,"film, serie"
1952,8.116666666666667,551037,6,film
1953,8.0,429430,7,film
1954,8.283333333333333,1394839,6,film
1955,8.183333333333332,291360,6,"film, serie"
1956,8.05,229936,4,film
1957,8.25,2086486,12,"film, serie"
1958,7.944444444444445,756183,9,film
1959,8.27,1340841,10,"film, serie"
1960,8.227272727272727,1379543,11,"film, serie"
1961,8.055555555555555,438815,9,"film, serie"
1962,8.125,1157377,12,film
1963,8.15,561974,6,"film, serie"
1964,8.075,915165,8,"film, serie"
1965,8.185714285714285,715059,7,"film, serie"
1966,8.11111111111111,1350321,9,"film, serie"
1967,8.088888888888889,728890,9,"film, serie"
1968,8.285714285714286,1616365,7,"film, serie"
1969,8.122222222222222,539198,9,"film, serie"
1970,8.016666666666667,223310,6,"film, serie"
1971,8.15,1218685,8,"film, serie"
1972,8.385714285714286,2419606,7,"film, serie"
1973,8.322222222222221,1075474,9,"film, serie"
1974,8.22857142857143,2058785,7,"film, serie"
1975,8.313333333333334,3309755,15,"film, serie"
1976,8.392307692307693,2164193,12,"film, serie"
1977,8.408333333333333,1975857,12,"film, serie"
1978,8.285714285714286,505908,7,"film, serie"
1979,8.242857142857144,2457887,7,"film, serie"
1980,8.321428571428571,3709123,14,"film, serie"
1981,8.4,1442101,5,"film, serie"
1982,8.13125,2518432,16,"film, serie"
1983,8.14,2361849,5,film
1984,8.254545454545454,2848314,11,"film, serie"
1985,8.292307692307691,2309148,13,"film, serie"
1986,8.284615384615385,2190240,13,"film, serie"
1987,8.26875,2357904,16,"film, serie"
1988,8.229411764705883,3118502,17,"film, serie"
1989,8.430769230769231,3317393,13,"film, serie"
1990,8.342857142857143,2855680,14,"film, serie"
1991,8.27,3675022,10,"film, serie"
1992,8.308333333333334,2744294,12,"film, serie"
1993,8.31578947368421,5128924,19,"film, serie"
1994,8.342105263157896,11968194,19,"film, serie"
1995,8.257142857142858,8657859,21,"film, serie"
1996,8.213333333333333,2089969,15,"film, serie"
1997,8.268181818181818,5976807,22,"film, serie"
1998,8.190000000000001,6452686,20,"film, serie"
1999,8.37,12136430,30,"film, serie"
2000,8.200000000000001,7782154,27,"film, serie"
2001,8.3,10419599,26,"film, serie"
2002,8.335714285714285,7427292,28,"film, serie"
2003,8.235135135135135,9792549,37,"film, serie"
2004,8.272,10098823,50,"film, serie"
2005,8.345454545454544,8559881,33,"film, serie"
2006,8.286111111111111,9822840,36,"film, serie"
2007,8.157446808510638,8501070,47,"film, serie"
2008,8.1975,13451220,40,"film, serie"
2009,8.268292682926829,10070343,41,"film, serie"
2010,8.302040816326532,13337186,49,"film, serie"
2011,8.355102040816327,11139404,49,"film, serie"
2012,8.210869565217392,10475436,46,"film, serie"
2013,8.258620689655173,13131291,58,"film, serie"
2014,8.283999999999999,15715994,75,"film, serie"
2015,8.286111111111111,12064575,72,"film, serie"
2016,8.230952380952381,12997930,84,"film, serie"
2017,8.2953125,10638486,63,"film, serie"
2018,8.3,7745341,77,"film, serie"
2019,8.301980198019802,15158597,101,"film, serie"
2020,8.309999999999999,4385715,60,"film, serie"
2021,8.32162162162162,8133784,74,"film, serie"
2022,8.283950617283951,7632858,81,"film, serie"
2023,8.277358490566037,4932231,53,"film, serie"
2024,8.282222222222222,2914675,45,"film, serie"
2025,8.306666666666667,624785,15,"film, serie"
