releaseYear,genre,mean_rating,numVotes,unique_titles_count
1920,Horror,8.0,73693,1
1920,Mystery,8.0,73693,1
1920,Thriller,8.0,73693,1
1921,Comedy,8.2,141718,1
1921,Drama,8.1,156817,2
1921,Family,8.2,141718,1
1921,Fantasy,8.0,15099,1
1921,Horror,8.0,15099,1
1923,Action,8.1,24055,1
1923,Comedy,8.1,24055,1
1923,Thriller,8.1,24055,1
1924,Action,8.2,62494,1
1924,Comedy,8.2,62494,1
1924,Drama,8.0,27231,2
1924,Romance,8.2,62494,1
1924,Thriller,8.0,11260,1
1924,Western,8.0,11260,1
1925,Adventure,8.1,124424,1
1925,Comedy,8.1,124424,1
1925,Drama,8.0,187926,2
1925,History,7.9,63502,1
1925,Thriller,7.9,63502,1
1926,Action,8.1,103154,1
1926,Adventure,8.1,103154,1
1926,Comedy,8.1,103154,1
1926,Drama,8.1,17564,1
1926,Fantasy,8.1,17564,1
1926,Horror,8.1,17564,1
1927,Drama,8.2,250715,2
1927,Romance,8.1,55546,1
1927,Sci-Fi,8.3,195169,1
1928,Biography,8.1,65431,1
1928,Comedy,8.05,51437,2
1928,Drama,8.05,79372,2
1928,Family,8.05,51437,2
1928,History,8.1,65431,1
1928,Romance,8.1,37496,1
1929,Documentary,8.3,29295,1
1930,Drama,8.1,70178,1
1930,War,8.1,70178,1
1931,Comedy,8.5,207777,1
1931,Crime,8.3,177711,1
1931,Drama,8.5,207777,1
1931,Mystery,8.3,177711,1
1931,Romance,8.5,207777,1
1931,Thriller,8.3,177711,1
1932,Comedy,7.9,16912,1
1932,Crime,8.05,32034,2
1932,Drama,8.2,15122,1
1932,Film-Noir,8.2,15122,1
1932,Romance,7.9,16912,1
1933,Adventure,7.9,93834,1
1933,Crime,7.9,14159,1
1933,Horror,7.9,93834,1
1933,Mystery,7.9,14159,1
1933,Thriller,7.9,14159,1
1934,Comedy,8.0,150939,2
1934,Crime,7.9,33914,1
1934,Mystery,7.9,33914,1
1934,Romance,8.1,117025,1
1936,Comedy,8.2,301746,2
1936,Drama,8.2,301746,2
1936,Romance,8.2,301746,2
1937,Adventure,7.9,11502,1
1937,Drama,8.033333333333333,61943,3
1937,Family,7.9,11502,1
1937,Romance,8.1,10214,1
1937,War,8.1,40227,1
1938,Action,7.9,56373,1
1938,Adventure,7.9,56373,1
1938,Crime,7.9,24154,1
1938,Drama,7.9,24154,1
1938,Film-Noir,7.9,24154,1
1938,Romance,7.9,56373,1
1939,Adventure,8.1,451970,1
1939,Comedy,8.0,158952,2
1939,Crime,7.9,16666,1
1939,Drama,8.0,535188,5
1939,Family,8.1,451970,1
1939,Fantasy,8.1,451970,1
1939,Romance,8.05,359570,2
1939,Thriller,7.9,16666,1
1939,War,8.2,347564,1
1940,Comedy,8.2,291412,2
1940,Drama,8.15,556376,4
1940,Mystery,8.1,159524,1
1940,Romance,8.05,201269,2
1940,War,8.4,249667,1
1941,Adventure,7.9,29840,1
1941,Comedy,7.9,29840,1
1941,Crime,7.9,171263,1
1941,Drama,8.0,697867,4
1941,Film-Noir,7.9,171263,1
1941,Mystery,8.3,483060,1
1941,Romance,7.9,13704,1
1942,Comedy,8.1,47376,1
1942,Drama,8.25,660416,2
1942,Romance,8.3,681655,2
1942,War,8.3,681655,2
1942,Western,8.0,26137,1
1943,Drama,8.05,29122,2
1943,History,8.1,11613,1
1943,Romance,8.0,17509,1
1943,War,8.0,17509,1
1944,Comedy,7.9,77043,1
1944,Crime,8.100000000000001,252527,2
1944,Drama,8.100000000000001,229414,2
1944,Film-Noir,8.100000000000001,229414,2
1944,Mystery,7.9,53930,1
