,releaseYear,mean_rating,total_votes,unique_titles_count,type
0,1920,8.0,73693,1,film
1,1921,8.1,156817,2,film
2,1923,8.1,24055,1,film
3,1924,8.066666666666666,89725,3,film
4,1925,8.0,187926,2,film
5,1926,8.1,120718,2,film
6,1927,8.2,250715,2,film
7,1928,8.066666666666666,116868,3,film
8,1929,8.3,29295,1,film
9,1930,8.1,70178,1,film
10,1931,8.4,385488,2,film
11,1932,8.05,32034,2,film
12,1933,7.9,107993,2,film
13,1934,8.0,150939,2,film
14,1936,8.2,301746,2,film
15,1937,8.033333333333333,61943,3,film
16,1938,7.9,80527,2,film
17,1939,8.016666666666667,987158,6,film
18,1940,8.15,556376,4,film
19,1941,8.0,697867,4,film
20,1942,8.200000000000001,707792,3,film
21,1943,8.05,29122,2,film
22,1944,8.033333333333333,306457,3,film
23,1945,8.02,173066,5,film
24,1946,8.066666666666666,865003,6,film
25,1947,7.95,100863,2,film
26,1948,8.1,526581,4,film
27,1949,8.1,307397,5,film
28,1950,8.133333333333333,705626,6,film
29,1951,8.083333333333334,372426,6,"film, serie"
30,1952,8.116666666666667,551037,6,film
31,1953,8.0,429430,7,film
32,1954,8.283333333333333,1394839,6,film
33,1955,8.183333333333332,291360,6,"film, serie"
34,1956,8.05,229936,4,film
35,1957,8.25,2086486,12,"film, serie"
36,1958,7.944444444444445,756183,9,film
37,1959,8.27,1340841,10,"film, serie"
38,1960,8.227272727272727,1379543,11,"film, serie"
39,1961,8.055555555555555,438815,9,"film, serie"
40,1962,8.125,1157377,12,film
41,1963,8.15,561974,6,"film, serie"
42,1964,8.075,915165,8,"film, serie"
43,1965,8.185714285714285,715059,7,"film, serie"
44,1966,8.11111111111111,1350321,9,"film, serie"
45,1967,8.088888888888889,728890,9,"film, serie"
46,1968,8.285714285714286,1616365,7,"film, serie"
47,1969,8.122222222222222,539198,9,"film, serie"
48,1970,8.016666666666667,223310,6,"film, serie"
49,1971,8.15,1218685,8,"film, serie"
50,1972,8.385714285714286,2419606,7,"film, serie"
51,1973,8.322222222222221,1075474,9,"film, serie"
52,1974,8.22857142857143,2058785,7,"film, serie"
53,1975,8.313333333333334,3309755,15,"film, serie"
54,1976,8.392307692307693,2164193,12,"film, serie"
55,1977,8.408333333333333,1975857,12,"film, serie"
56,1978,8.285714285714286,505908,7,"film, serie"
57,1979,8.242857142857144,2457887,7,"film, serie"
58,1980,8.321428571428571,3709123,14,"film, serie"
59,1981,8.4,1442101,5,"film, serie"
60,1982,8.13125,2518432,16,"film, serie"
61,1983,8.14,2361849,5,film
62,1984,8.254545454545454,2848314,11,"film, serie"
63,1985,8.292307692307691,2309148,13,"film, serie"
64,1986,8.284615384615385,2190240,13,"film, serie"
65,1987,8.26875,2357904,16,"film, serie"
66,1988,8.229411764705883,3118502,17,"film, serie"
67,1989,8.430769230769231,3317393,13,"film, serie"
68,1990,8.342857142857143,2855680,14,"film, serie"
69,1991,8.27,3675022,10,"film, serie"
70,1992,8.308333333333334,2744294,12,"film, serie"
71,1993,8.31578947368421,5128924,19,"film, serie"
72,1994,8.342105263157896,11968194,19,"film, serie"
73,1995,8.257142857142858,8657859,21,"film, serie"
74,1996,8.213333333333333,2089969,15,"film, serie"
75,1997,8.268181818181818,5976807,22,"film, serie"
76,1998,8.190000000000001,6452686,20,"film, serie"
77,1999,8.37,12136430,30,"film, serie"
78,2000,8.200000000000001,7782154,27,"film, serie"
79,2001,8.3,10419599,26,"film, serie"
80,2002,8.335714285714285,7427292,28,"film, serie"
81,2003,8.235135135135135,9792549,37,"film, serie"
82,2004,8.272,10098823,50,"film, serie"
83,2005,8.345454545454544,8559881,33,"film, serie"
84,2006,8.286111111111111,9822840,36,"film, serie"
85,2007,8.157446808510638,8501070,47,"film, serie"
86,2008,8.1975,13451220,40,"film, serie"
87,2009,8.268292682926829,10070343,41,"film, serie"
88,2010,8.302040816326532,13337186,49,"film, serie"
89,2011,8.355102040816327,11139404,49,"film, serie"
90,2012,8.210869565217392,10475436,46,"film, serie"
91,2013,8.258620689655173,13131291,58,"film, serie"
92,2014,8.283999999999999,15715994,75,"film, serie"
93,2015,8.286111111111111,12064575,72,"film, serie"
94,2016,8.230952380952381,12997930,84,"film, serie"
95,2017,8.2953125,10638486,63,"film, serie"
96,2018,8.3,7745341,77,"film, serie"
97,2019,8.301980198019802,15158597,101,"film, serie"
98,2020,8.309999999999999,4385715,60,"film, serie"
99,2021,8.32162162162162,8133784,74,"film, serie"
100,2022,8.283950617283951,7632858,81,"film, serie"
101,2023,8.277358490566037,4932231,53,"film, serie"
102,2024,8.282222222222222,2914675,45,"film, serie"
103,2025,8.306666666666667,624785,15,"film, serie"
