id,title,genres,averageRating,numVotes,releaseYear
tt0903747,Breaking Bad,"Crime, Drama, Thriller",9.5,2341969,2008
tt0185906,Band of Brothers,"Action, Drama, History",9.4,564041,2001
tt0795176,Planet Earth,"Documentary, Family",9.4,227819,2006
tt5491994,Planet Earth II,Documentary,9.4,166992,2016
tt5152226,Tree of Life,Drama,9.4,18826,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,954055,2019
tt0417299,Avatar: The Last Airbender,"Action, Adventure, Animation",9.3,408049,2005
tt0306414,The Wire,"Crime, Drama, Thriller",9.3,404808,2002
tt30263074,Sapne Vs Everyone,Drama,9.3,73898,2023
tt6769208,Blue Planet II,Documentary,9.3,52095,2017
tt0081846,Cosmos,Documentary,9.3,48124,1980
tt7678620,Bluey,"Animation, Family",9.3,39004,2018
tt9002164,BB Ki Vines,Comedy,9.3,11607,2015
tt0944947,Game of Thrones,"Action, Adventure, Drama",9.2,2441736,2011
tt0141842,The Sopranos,"Crime, Drama",9.2,528050,1999
tt14392248,Aspirants,Drama,9.2,315796,2021
tt12392504,Scam 1992: The Harshad Mehta Story,"Biography, Crime, Drama",9.2,165173,2020
tt30192155,Scam 1992,Thriller,9.2,161646,2020
tt2395695,Cosmos: A Spacetime Odyssey,Documentary,9.2,134385,2014
tt9253866,Our Planet,Documentary,9.2,57076,2019
tt9471404,The Chosen,"Drama, History",9.2,51960,2017
tt0071075,The World at War,"Documentary, History, War",9.2,33200,1973
tt26471411,When Life Gives You Tangerines,"Drama, History, Romance",9.2,20214,2025
tt9861270,Çilgin Dersane at the University,Comedy,9.2,18832,2014
tt2861424,Rick and Morty,"Adventure, Animation, Comedy",9.1,653506,2013
tt2560140,Attack on Titan,"Action, Adventure, Animation",9.1,616117,2013
tt1355642,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Animation",9.1,222626,2009
tt28227737,Sandeep Bhaiya,Drama,9.1,76432,2023
tt4742876,TVF Pitchers,"Comedy, Drama",9.1,75697,2015
tt5622316,The Chosen,"Drama, History",9.1,58718,2017
tt1533395,Life,Documentary,9.1,45889,2009
tt4202274,The Filthy Frank Show,"Comedy, Short",9.1,33770,2011
tt1877514,The Vietnam War,"Documentary, History, War",9.1,31651,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,26573,2019
tt9471962,Halka,"Action, Crime, Drama",9.1,25952,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18397,2017
tt13854248,The Legend of Hanuman,"Action, Adventure, Animation",9.1,13453,2021
tt1475582,Sherlock,"Crime, Drama, Mystery",9,1050664,2010
tt0386676,The Office,Comedy,9,778665,2005
tt3032476,Better Call Saul,"Crime, Drama",9,736762,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,398429,2021
tt0388629,One Piece,"Action, Adventure, Animation",9,299869,1999
tt8420184,The Last Dance,"Biography, Documentary, History",9,167429,2020
tt2098220,Hunter x Hunter,"Action, Adventure, Animation",9,165529,2011
tt0103359,Batman: The Animated Series,"Action, Adventure, Animation",9,127614,1992
tt12004706,Panchayat,"Comedy, Drama",9,103518,2020
tt0052520,The Twilight Zone,"Drama, Fantasy, Horror",9,100954,1959
tt1831164,Leyla and Mecnun,"Adventure, Comedy, Drama",9,99893,2011
tt9432978,Kota Factory,"Comedy, Drama",9,88155,2019
tt10541088,Clarkson's Farm,"Comedy, Documentary, Reality-TV",9,73973,2021
tt14986406,Bleach: Thousand-Year Blood War,"Action, Adventure, Animation",9,61792,2022
tt0081912,Only Fools and Horses,Comedy,9,60996,1981
tt7920978,Persona,"Crime, Drama, Mystery",9,51916,2018
tt0296310,The Blue Planet,Documentary,9,45911,2001
tt21279678,NCR Days,Drama,9,44508,2022
tt2092588,Frozen Planet,Documentary,9,35814,2011
tt1806234,Human Planet,Documentary,9,30028,2011
tt13675832,As If,Comedy,9,29851,2021
tt0268093,Ramayan,"Adventure, Drama, Family",9,26044,1987
tt4934214,Taskmaster,"Comedy, Game-Show",9,24964,2015
tt0098769,The Civil War,"Documentary, History, War",9,21519,1990
tt1508238,Apocalypse: The Second World War,"Documentary, History, War",9,16723,2009
tt5182866,Reply 1988,"Comedy, Drama, Family",9,16008,2015
tt4834232,Critical Role,"Adventure, Fantasy",9,14434,2015
tt3212600,Mahabharat,"Drama, History, War",9,12989,2013
tt7923710,My Mister,"Drama, Family",9,12904,2018
tt0108778,Friends,"Comedy, Romance",8.9,1147440,1994
